1,344,363,0,2,21,19,252,257,92,106,5185015,0.0335,-2
2,374,371,0,1,19,20,322,281,52,90,2643386,0.0189,-7
3,308,160,1,0,18,11,225,95,83,65,16313997,0.0979,6
4,160,308,0,1,11,18,95,225,65,83,2811165,0.0177,-6
5,333,307,1,3,21,21,176,159,157,148,2623287,0.0208,-1
6,258,344,1,1,14,17,185,215,73,129,17186693,0.1089,-9
7,381,340,1,1,18,22,324,188,57,152,4802972,0.0316,1
8,288,403,1,0,14,23,168,270,120,133,600000,0.0054,-19
9,328,316,0,1,24,18,227,203,101,113,5685702,0.0354,-1
10,307,333,3,1,21,21,159,176,148,157,2619282,0.0146,1
11,448,450,0,0,28,25,332,368,116,82,11592758,0.0779,4
12,294,348,0,1,18,20,199,300,95,48,2720810,0.0189,4
13,344,258,1,1,17,14,215,185,129,73,9500000,0.0645,9
14,450,448,0,0,25,28,368,332,82,116,14479891,0.0940,-4
15,348,294,1,0,20,18,300,199,48,95,11468750,0.0693,-4
16,413,388,1,0,26,25,330,233,83,155,5312500,0.0308,6
17,185,320,2,1,10,28,120,170,65,150,3110896,0.0207,-28
18,214,352,0,2,11,21,150,240,64,112,18038177,0.1262,-2
19,301,316,0,3,15,19,236,252,65,64,4516397,0.0282,9
20,363,344,2,0,19,21,257,252,106,92,27244861,0.1771,2
21,507,486,1,0,27,25,419,319,88,167,7338431,0.0453,-1
22,316,328,1,0,18,24,203,227,113,101,450000,0.0027,1
23,340,381,1,1,22,18,188,324,152,57,9924404,0.0575,-1
24,486,507,0,1,25,27,319,419,167,88,5900000,0.0379,1
25,403,288,0,1,23,14,270,168,133,120,4052500,0.0193,19
26,437,384,1,2,23,18,290,329,147,55,4603171,0.0318,22
27,388,413,0,1,25,26,233,330,155,83,0,0.0000,-6
28,320,185,1,2,28,10,170,120,150,65,9534695,0.0696,28
29,352,214,2,0,21,11,240,150,112,64,11116966,0.0782,2
30,371,374,1,0,20,19,281,322,90,52,2580976,0.0162,7
31,316,301,3,0,19,15,252,236,64,65,7320000,0.0517,-9
32,384,437,2,1,18,23,329,290,55,147,5322799,0.0354,-22
1,416,306,0,5,20,21,311,221,105,85,8986235,0.0580,33
2,528,454,1,0,27,29,389,299,139,155,5983681,0.0429,7
3,382,387,2,2,22,17,302,242,80,145,15327985,0.0920,5
4,393,493,1,1,16,28,307,370,86,123,20027331,0.1263,-6
5,529,302,4,3,26,16,353,237,176,65,9923823,0.0785,19
6,284,280,3,0,16,21,220,180,64,100,2641910,0.0167,-15
7,412,374,2,2,21,19,366,250,46,124,3851909,0.0253,-8
8,387,382,2,2,17,22,242,302,145,80,0,0.0000,-5
9,380,432,1,1,24,24,278,350,102,82,25010270,0.1558,4
10,400,253,1,2,24,19,266,170,134,83,23399081,0.1304,14
11,375,363,1,1,22,22,238,224,137,139,14469772,0.0972,-1
12,263,284,3,1,20,15,180,254,83,30,14073462,0.0975,-3
13,351,291,2,3,15,14,254,172,97,119,30845122,0.2093,7
14,253,400,2,1,19,24,170,266,83,134,37077830,0.2407,-14
15,388,357,3,1,20,25,319,207,69,150,9062500,0.0548,-24
16,291,351,3,2,14,15,172,254,119,97,6864449,0.0397,-7
17,283,306,0,1,17,17,219,239,64,67,9933451,0.0662,6
18,457,463,4,1,23,29,387,302,70,161,32390034,0.2265,-7
19,284,263,1,3,15,20,254,180,30,83,16485175,0.1029,3
20,463,457,1,4,29,23,302,387,161,70,43377615,0.2820,7
21,288,417,0,3,16,22,247,353,41,64,8387692,0.0518,-3
22,417,288,3,0,22,16,353,247,64,41,9850000,0.0583,3
23,493,393,1,1,28,16,370,307,123,86,19924404,0.1154,6
24,454,528,0,1,29,27,299,389,155,139,11257596,0.0724,-7
25,280,284,0,3,21,16,180,220,100,64,6311563,0.0300,15
26,374,412,2,2,19,21,250,366,124,46,7196047,0.0497,8
27,357,388,1,3,25,20,207,319,150,69,11904306,0.0698,24
28,302,529,3,4,16,26,237,353,65,176,5273905,0.0385,-19
29,306,283,1,0,17,17,239,219,67,64,4983832,0.0350,-6
30,306,416,5,0,21,20,221,311,85,105,19330976,0.1215,-33
31,363,375,1,1,22,22,224,238,139,137,13632500,0.0963,1
32,432,380,1,1,24,24,350,278,82,102,17911126,0.1191,-4
1,348,297,5,1,25,16,260,89,88,208,10933660,0.0706,-15
2,442,474,0,2,26,32,225,359,217,115,19044382,0.1365,13
3,283,216,3,3,18,14,199,168,84,48,12281411,0.0737,2
4,297,348,1,5,16,25,89,260,208,88,20526397,0.1295,15
5,306,211,3,0,18,13,201,153,105,58,12233575,0.0968,-12
6,390,447,2,1,21,25,312,248,78,199,61531960,0.3898,-14
7,332,355,2,1,20,21,189,303,143,52,5892972,0.0387,-12
8,430,426,1,3,21,23,261,311,169,115,22195016,0.1981,-6
9,447,390,1,2,25,21,248,312,199,78,39080587,0.2435,14
10,355,332,1,2,21,20,303,189,52,143,17258923,0.0962,12
11,418,324,1,0,22,17,368,201,50,123,31691238,0.2129,-7
12,324,418,0,1,17,22,201,368,123,50,43859446,0.3040,7
13,284,282,3,0,19,15,175,97,109,185,19174775,0.1301,-27
14,410,352,2,3,24,17,317,315,93,37,54974165,0.3569,4
15,216,283,3,3,14,18,168,199,48,84,27839150,0.1682,-2
16,293,305,1,8,18,17,221,188,72,117,9388977,0.0544,21
17,320,472,2,2,18,30,183,389,137,83,5424516,0.0361,5
18,426,430,3,1,23,21,311,261,115,169,21417034,0.1498,6
19,211,306,0,3,13,18,153,201,58,105,17389175,0.1086,12
20,282,284,0,3,15,19,97,175,185,109,19233521,0.1250,27
21,474,442,2,0,32,26,359,225,115,217,17905077,0.1106,-13
22,457,403,3,1,28,20,337,313,120,90,5871784,0.0348,-2
23,305,293,8,1,17,18,188,221,117,72,18913424,0.1096,-21
24,368,393,1,3,17,19,245,212,123,181,22667332,0.1457,7
25,426,251,0,2,25,15,301,222,125,29,11302529,0.0538,31
26,251,426,2,0,15,25,222,301,29,125,5200993,0.0359,-31
27,352,410,3,2,17,24,315,317,37,93,19957306,0.1170,-4
28,254,418,1,2,12,18,119,291,135,127,4744776,0.0346,-19
29,418,254,2,1,18,12,291,119,127,135,4046769,0.0284,19
30,472,320,2,2,30,18,389,183,83,137,30063907,0.1890,-5
31,393,368,3,1,19,17,212,245,181,123,18907500,0.1336,-7
32,403,457,1,3,20,28,313,337,90,120,12308737,0.0819,2
1,420,288,5,1,26,12,302,247,118,41,9021838,0.0582,-4
2,571,378,1,2,25,20,481,329,90,49,3144382,0.0225,15
3,412,261,1,1,25,13,282,199,130,62,17836113,0.1071,-1
4,378,277,0,1,24,13,244,187,134,90,28837894,0.1819,16
5,378,571,2,1,20,25,329,481,49,90,19639139,0.1554,-15
6,408,263,0,2,23,16,294,197,114,66,53761749,0.3405,3
7,362,222,0,2,19,8,285,160,77,62,10688567,0.0702,15
8,380,301,3,1,26,24,217,156,163,145,32571332,0.2907,-11
9,428,295,0,1,26,14,234,189,194,106,55356222,0.3449,7
10,307,215,0,3,22,15,218,143,89,72,15879420,0.0885,20
11,263,408,2,0,16,23,197,294,66,114,34744847,0.2334,-3
13,359,320,2,1,21,16,244,196,115,124,21996441,0.1493,7
14,284,331,1,0,23,23,190,195,94,136,9990534,0.0649,-3
15,331,284,0,1,23,23,195,190,136,94,19442324,0.1175,3
16,357,436,2,0,22,18,270,287,87,149,12597444,0.0729,-29
17,288,420,1,5,12,26,247,302,41,118,21633115,0.1441,4
18,222,362,2,0,8,19,160,285,62,77,53971985,0.3775,-15
19,366,339,0,2,22,18,262,261,104,78,3053564,0.0191,14
20,277,378,1,0,13,24,187,244,90,134,25253631,0.1642,-16
21,275,346,2,3,21,21,192,308,83,38,14793077,0.0914,1
22,339,366,2,0,18,22,261,262,78,104,17274951,0.1023,-14
23,305,354,3,0,20,21,247,288,58,66,15297590,0.0886,-10
24,261,412,1,1,13,25,199,282,62,130,19394752,0.1247,1
26,436,357,0,2,18,22,287,270,149,87,9422201,0.0651,29
27,346,275,3,2,21,21,308,192,38,83,37000000,0.2169,-1
28,295,428,1,0,14,26,189,234,106,194,7710814,0.0563,-7
29,354,305,0,3,21,20,288,247,66,58,12656360,0.0890,10
30,215,307,3,0,15,22,143,218,72,89,21586581,0.1357,-20
31,320,359,1,2,16,21,196,244,124,115,12419765,0.0878,-7
32,301,380,1,3,24,26,156,217,145,163,9426551,0.0627,11
1,288,286,0,3,17,25,116,135,172,151,24824810,0.1602,12
2,372,267,1,1,19,18,250,183,122,84,3970861,0.0285,7
3,306,310,1,2,18,18,188,250,118,60,5670328,0.0340,-6
4,305,345,0,3,15,23,112,243,193,102,48597614,0.3065,11
5,414,315,4,0,20,20,278,202,136,113,52889038,0.4186,-3
6,522,396,1,0,25,20,397,298,125,98,68987208,0.4370,-6
7,345,402,0,1,27,21,249,222,96,180,9657988,0.0635,-14
8,262,501,1,0,17,24,235,403,27,98,19032697,0.1699,-20
9,402,345,1,0,21,27,222,249,180,96,54481439,0.3394,14
10,267,372,1,1,18,19,183,250,84,122,16799975,0.0936,-7
11,244,346,1,2,21,18,164,230,80,116,26036056,0.1749,1
12,406,221,2,1,23,14,259,178,147,43,16549030,0.1147,7
13,214,351,1,0,16,22,155,255,59,96,19289166,0.1309,-18
14,396,522,0,1,20,25,298,397,98,125,13741576,0.0892,6
17,345,305,3,0,23,15,243,112,102,193,32879929,0.2190,-11
18,200,398,2,0,8,23,149,163,51,235,35542022,0.2486,-13
19,351,214,0,1,22,16,255,155,96,59,8954867,0.0559,18
20,501,262,0,1,24,17,403,235,98,27,33104240,0.2152,20
22,221,406,1,2,14,23,178,259,43,147,18495951,0.1095,-7
23,316,436,0,1,16,30,244,375,72,61,28871609,0.1673,-18
24,389,423,1,4,19,17,300,351,89,72,16177428,0.1040,3
25,346,244,2,1,18,21,230,164,116,80,1842023,0.0088,-1
26,436,316,1,0,30,16,375,244,61,72,13523217,0.0935,18
27,423,389,4,1,17,19,351,300,72,89,37000000,0.2169,-3
28,286,288,3,0,25,17,135,116,151,172,21553096,0.1574,-12
