426,430,3,1,23,21,311,261,115,169,-3.28,-1.58,12.54,W
211,306,0,3,13,18,153,201,58,105,-5.7,12.29,7.33,W
282,284,0,3,15,19,97,175,185,109,1.19,14.6,10.11,W
474,442,2,0,32,26,359,225,115,217,12.19,-29.68,1.52,L
457,403,3,1,28,20,337,313,120,90,7.82,-12.07,-1.86,L
305,293,8,1,17,18,188,221,117,72,-21.82,5.73,-1.35,L
368,393,1,3,17,19,245,212,123,181,1.85,8.38,-0.77,W
426,251,0,2,25,15,301,222,125,29,22.12,10.46,-0.94,W
251,426,2,0,15,25,222,301,29,125,-10.46,-22.12,0.94,L
352,410,3,2,17,24,315,317,37,93,-4.64,2.59,-4.12,L
254,418,1,2,12,18,119,291,135,127,-5.4,-9.29,-4.06,L
418,254,2,1,18,12,291,119,127,135,9.29,5.4,4.06,W
472,320,2,2,30,18,389,183,83,137,4.85,-0.44,-5.57,L
393,368,3,1,19,17,212,245,181,123,-8.38,-1.85,0.77,L
403,457,1,3,20,28,313,337,90,120,12.07,-7.82,1.86,W
420,288,5,1,26,12,302,247,118,41,-3.21,4.82,-5.82,L
571,378,1,2,25,20,481,329,90,49,22.38,-3.16,-3.49,W
412,261,1,1,25,13,282,199,130,62,-0.15,6.63,-8.3,L
378,277,0,1,24,13,244,187,134,90,6.11,10.11,-3.66,W
378,571,2,1,20,25,329,481,49,90,3.16,-22.38,3.49,L
408,263,0,2,23,16,294,197,114,66,7.93,7.47,-10.3,W
362,222,0,2,19,8,285,160,77,62,-1.78,13.03,4.96,W
362,222,0,2,19,8,285,160,77,62,-1.78,13.03,4.96,W
428,295,0,1,26,14,234,189,194,106,15.96,-2.03,-5.8,W
307,215,0,3,22,15,218,143,89,72,2.97,20.49,-2.33,W
263,408,2,0,16,23,197,294,66,114,-7.47,-7.93,10.3,L
359,320,2,1,21,16,244,196,115,124,3.59,1.88,-0.39,W
284,331,1,0,23,23,190,195,94,136,1.26,-12.99,2.11,L
331,284,0,1,23,23,195,190,136,94,12.99,-1.26,-2.11,W
357,436,2,0,22,18,270,287,87,149,-3.86,-15.53,-4.24,L
288,420,1,5,12,26,247,302,41,118,-4.82,3.21,5.82,W
222,362,2,0,8,19,160,285,62,77,-13.03,1.78,-4.96,L
366,339,0,2,22,18,262,261,104,78,8.88,6.33,-0.73,W
277,378,1,0,13,24,187,244,90,134,-10.11,-6.11,3.66,L
275,346,2,3,21,21,192,308,83,38,2.87,-0.8,-0.15,W
339,366,2,0,18,22,261,262,78,104,-6.33,-8.88,0.73,L
305,354,3,0,20,21,247,288,58,66,1.16,-9.58,-2.47,L
261,412,1,1,13,25,199,282,62,130,-6.63,0.15,8.3,W
436,357,0,2,18,22,287,270,149,87,15.53,3.86,4.24,W
346,275,3,2,21,21,308,192,38,83,0.8,-2.87,0.15,L
295,428,1,0,14,26,189,234,106,194,2.03,-15.96,5.8,L
354,305,0,3,21,20,288,247,66,58,9.58,-1.16,2.47,W
215,307,3,0,15,22,143,218,72,89,-20.49,-2.97,2.33,L
320,359,1,2,16,21,196,244,124,115,-1.88,-3.59,0.39,L
301,380,1,3,24,26,156,217,145,163,13.4,-4.68,-0.33,W
288,286,0,3,17,25,116,135,172,151,-3.49,2.05,11.2,W
372,267,1,1,19,18,250,183,122,84,1.87,1.15,5.74,W
306,310,1,2,18,18,188,250,118,60,-8.56,2.61,0.93,L
305,345,0,3,15,23,112,243,193,102,5.28,8.61,-0.71,W
414,315,4,0,20,20,278,202,136,113,2.26,-2.67,-3.05,L
522,396,1,0,25,20,397,298,125,98,11.01,-7.58,-9.67,L
345,402,0,1,27,21,249,222,96,180,11.82,-18.6,-7.25,L
345,402,0,1,27,21,249,222,96,180,11.82,-18.6,-7.25,L
402,345,1,0,21,27,222,249,180,96,18.6,-11.82,7.25,W
267,372,1,1,18,19,183,250,84,122,-1.15,-1.87,-5.74,L
244,346,1,2,21,18,164,230,80,116,8.49,-4.42,-2.7,W
406,221,2,1,23,14,259,178,147,43,3.45,9.52,-6.36,W
214,351,1,0,16,22,155,255,59,96,-5.63,-11.38,-3.21,L
396,522,0,1,20,25,298,397,98,125,7.58,-11.01,9.67,W
345,305,3,0,23,15,243,112,102,193,-8.61,-5.28,0.71,L
200,398,2,0,8,23,149,163,51,235,-9.64,-12.48,10.75,L
351,214,0,1,22,16,255,155,96,59,11.38,5.63,3.21,W
501,262,0,1,24,17,403,235,98,27,17.05,4.26,-3.15,W
221,406,1,2,14,23,178,259,43,147,-9.52,-3.45,6.36,L
316,436,0,1,16,30,244,375,72,61,-0.46,-15.65,-3.39,L
389,423,1,4,19,17,300,351,89,72,7.26,-7.38,2.71,W
346,244,2,1,18,21,230,164,116,80,4.42,-8.49,2.7,L
