344,363,0,2,21,19,L
416,306,0,5,20,21,W
348,297,5,1,25,16,L
420,288,5,1,26,12,L
288,286,0,3,17,25,W
396,230,0,2,28,11,W
443,257,0,0,23,11,T
340,349,2,1,22,19,L
443,281,4,1,26,15,W
290,217,2,1,24,16,L
332,360,1,1,23,28,L
369,333,0,2,24,19,W
300,314,4,3,21,15,L
425,488,2,1,26,33,L
370,391,1,1,21,24,W
344,123,2,3,21,9,W
374,371,0,1,19,20,L
528,454,1,0,27,29,W
442,474,0,2,26,32,W
571,378,1,2,25,20,W
372,267,1,1,19,18,W
362,333,2,0,22,22,L
386,426,1,2,21,26,L
367,331,0,0,25,24,W
461,396,1,2,31,23,W
303,429,1,1,11,25,L
360,332,1,1,28,23,W
418,389,1,1,32,17,L
286,312,0,5,18,21,W
550,272,1,1,29,15,W
408,302,0,2,21,17,W
465,473,0,1,25,26,W
422,309,0,2,28,17,W
493,367,0,2,30,24,W
344,546,1,2,17,37,L
308,160,1,0,18,11,W
382,387,2,2,22,17,W
283,216,3,3,18,14,W
412,261,1,1,25,13,L
306,310,1,2,18,18,L
391,435,0,3,22,19,L
245,344,3,2,11,16,L
274,277,1,1,13,15,W
396,144,2,3,29,11,W
368,417,0,0,17,27,L
311,325,1,2,16,22,W
496,277,2,3,28,16,W
348,496,1,3,17,20,L
340,328,2,1,18,27,W
368,406,1,2,22,23,L
335,371,2,0,22,25,L
160,308,0,1,11,18,L
393,493,1,1,16,28,L
297,348,1,5,16,25,W
378,277,0,1,24,13,W
305,345,0,3,15,23,W
492,300,2,1,29,16,W
267,454,0,0,16,26,L
376,357,0,0,25,23,L
425,278,1,0,30,19,L
342,300,1,2,20,23,W
304,301,0,0,15,20,W
382,399,2,0,24,24,L
275,460,1,3,14,24,L
451,269,0,0,29,16,W
589,494,0,1,30,22,L
230,329,3,0,14,18,L
333,307,1,3,21,21,L
529,302,4,3,26,16,W
306,211,3,0,18,13,L
378,571,2,1,20,25,L
414,315,4,0,20,20,L
406,523,2,1,32,23,L
349,340,1,2,19,22,W
244,339,0,1,16,18,W
341,256,2,1,22,18,L
223,371,0,2,17,28,W
358,366,2,2,19,22,L
271,534,2,1,14,29,L
272,278,1,5,17,17,W
438,335,0,3,22,18,W
302,408,2,0,17,21,L
335,300,3,2,18,18,L
258,344,1,1,14,17,L
284,280,3,0,16,21,L
390,447,2,1,21,25,L
408,263,0,2,23,16,W
522,396,1,0,25,20,L
389,317,0,2,22,20,L
189,406,2,1,13,32,L
403,258,0,0,19,15,W
283,360,4,1,15,22,L
315,329,1,0,17,19,L
411,375,2,0,25,18,L
326,147,1,0,19,10,W
296,323,0,2,16,25,L
449,451,4,0,29,20,L
458,478,5,0,31,21,L
323,374,5,1,19,21,L
381,340,1,1,18,22,W
412,374,2,2,21,19,L
332,355,2,1,20,21,L
362,222,0,2,19,8,W
345,402,0,1,27,21,L
357,437,0,0,20,25,L
559,352,1,2,23,22,W
415,546,2,1,35,30,T
264,351,1,2,12,23,L
300,342,2,1,23,20,L
325,311,2,1,22,16,L
412,359,2,3,21,22,W
360,254,0,1,21,13,W
222,382,1,0,19,26,L
294,250,1,0,15,17,L
371,335,0,2,25,22,W
381,340,1,1,18,22,W
412,374,2,2,21,19,L
332,355,2,1,20,21,L
362,222,0,2,19,8,W
345,402,0,1,27,21,L
357,437,0,0,20,25,L
559,352,1,2,23,22,W
415,546,2,1,35,30,T
264,351,1,2,12,23,L
300,342,2,1,23,20,L
325,311,2,1,22,16,L
412,359,2,3,21,22,W
360,254,0,1,21,13,W
222,382,1,0,19,26,L
294,250,1,0,15,17,L
371,335,0,2,25,22,W
328,316,0,1,24,18,L
380,432,1,1,24,24,W
447,390,1,2,25,21,W
428,295,0,1,26,14,W
402,345,1,0,21,27,W
424,372,2,4,24,24,W
460,291,1,1,26,21,W
423,222,0,0,29,13,W
422,448,1,0,20,30,W
417,368,0,0,27,17,W
353,505,0,0,24,25,W
264,318,2,1,13,21,W
260,260,3,3,13,12,L
449,276,1,4,24,16,W
375,319,0,2,23,23,W
195,346,2,0,15,24,L
429,413,1,1,25,27,L
307,333,3,1,21,21,W
400,253,1,2,24,19,W
355,332,1,2,21,20,W
307,215,0,3,22,15,W
267,372,1,1,18,19,L
304,265,2,2,16,16,L
347,271,0,2,19,14,W
324,369,3,3,15,21,W
299,397,2,0,13,30,L
337,373,2,4,24,19,W
464,273,1,0,21,23,L
206,333,0,3,10,19,W
348,253,2,0,19,16,L
309,313,3,0,15,20,L
246,484,3,1,14,23,L
349,221,1,3,18,11,W
448,450,0,0,28,25,W
375,363,1,1,22,22,L
418,324,1,0,22,17,L
263,408,2,0,16,23,L
244,346,1,2,21,18,W
348,387,0,1,20,23,W
344,413,0,2,19,26,W
289,269,0,1,19,20,L
311,337,1,0,18,22,W
277,285,2,3,14,16,W
308,306,0,1,18,17,W
422,369,0,3,24,20,W
323,296,2,0,25,16,W
324,300,2,0,16,17,L
319,375,2,0,23,23,L
408,448,1,0,24,28,L
231,387,0,0,13,24,L
294,348,0,1,18,20,W
263,284,3,1,20,15,L
324,418,0,1,17,22,W
406,221,2,1,23,14,W
372,424,4,2,24,24,L
406,189,1,2,32,13,W
331,367,0,0,24,25,L
405,355,1,2,25,22,L
402,446,3,0,21,19,L
424,515,2,0,19,21,L
387,292,0,1,25,20,W
309,307,1,1,16,17,W
330,354,0,6,18,22,W
451,449,0,4,20,29,W
348,446,0,2,19,22,W
448,408,0,1,28,24,W
406,365,0,2,23,15,W
413,429,1,1,27,25,W
367,493,2,0,24,30,L
344,258,1,1,17,14,W
351,291,2,3,15,14,W
284,282,3,0,19,15,L
359,320,2,1,21,16,W
214,351,1,0,16,22,L
414,392,1,1,26,19,W
271,347,2,0,14,19,L
269,289,1,0,20,19,W
273,327,0,2,16,23,W
354,325,2,1,22,16,L
353,302,4,1,22,18,L
307,309,1,1,17,16,L
316,348,1,3,20,21,W
387,150,2,1,23,9,W
250,294,0,1,17,15,W
289,236,1,1,20,16,L
291,203,0,3,19,16,W
302,377,3,3,14,20,L
450,448,0,0,25,28,L
253,400,2,1,19,24,L
410,352,2,3,24,17,W
284,331,1,0,23,23,L
396,522,0,1,20,25,W
392,414,1,1,19,26,L
422,331,0,1,26,26,W
277,422,2,0,18,20,L
355,405,2,1,22,25,W
327,351,1,0,18,20,W
310,369,2,0,18,16,L
421,250,1,3,27,13,W
348,316,3,1,21,20,L
411,282,0,3,27,20,W
390,463,3,0,20,27,L
384,470,2,2,24,23,W
348,294,1,0,20,18,L
388,357,3,1,20,25,L
