344,363,0,2,L
416,306,0,5,W
348,297,5,1,L
420,288,5,1,L
288,286,0,3,W
396,230,0,2,W
443,257,0,0,T
340,349,2,1,L
443,281,4,1,W
290,217,2,1,L
332,360,1,1,L
369,333,0,2,W
300,314,4,3,L
425,488,2,1,L
370,391,1,1,W
344,123,2,3,W
374,371,0,1,L
528,454,1,0,W
442,474,0,2,W
571,378,1,2,W
372,267,1,1,W
362,333,2,0,L
386,426,1,2,L
367,331,0,0,W
461,396,1,2,W
303,429,1,1,L
360,332,1,1,W
418,389,1,1,L
286,312,0,5,W
550,272,1,1,W
408,302,0,2,W
465,473,0,1,W
422,309,0,2,W
493,367,0,2,W
344,546,1,2,L
308,160,1,0,W
382,387,2,2,W
283,216,3,3,W
412,261,1,1,L
306,310,1,2,L
391,435,0,3,L
245,344,3,2,L
274,277,1,1,W
396,144,2,3,W
368,417,0,0,L
311,325,1,2,W
496,277,2,3,W
348,496,1,3,L
340,328,2,1,W
368,406,1,2,L
335,371,2,0,L
160,308,0,1,L
393,493,1,1,L
297,348,1,5,W
378,277,0,1,W
305,345,0,3,W
492,300,2,1,W
267,454,0,0,L
376,357,0,0,L
425,278,1,0,L
342,300,1,2,W
304,301,0,0,W
382,399,2,0,L
275,460,1,3,L
451,269,0,0,W
589,494,0,1,L
230,329,3,0,L
333,307,1,3,L
529,302,4,3,W
306,211,3,0,L
378,571,2,1,L
414,315,4,0,L
406,523,2,1,L
349,340,1,2,W
244,339,0,1,W
341,256,2,1,L
223,371,0,2,W
358,366,2,2,L
271,534,2,1,L
272,278,1,5,W
438,335,0,3,W
302,408,2,0,L
335,300,3,2,L
258,344,1,1,L
284,280,3,0,L
390,447,2,1,L
408,263,0,2,W
522,396,1,0,L
389,317,0,2,L
189,406,2,1,L
403,258,0,0,W
283,360,4,1,L
315,329,1,0,L
411,375,2,0,L
326,147,1,0,W
296,323,0,2,L
449,451,4,0,L
458,478,5,0,L
323,374,5,1,L
381,340,1,1,W
412,374,2,2,L
332,355,2,1,L
362,222,0,2,W
345,402,0,1,L
357,437,0,0,L
559,352,1,2,W
415,546,2,1,T
264,351,1,2,L
300,342,2,1,L
325,311,2,1,L
412,359,2,3,W
360,254,0,1,W
222,382,1,0,L
294,250,1,0,L
371,335,0,2,W
381,340,1,1,W
412,374,2,2,L
332,355,2,1,L
362,222,0,2,W
345,402,0,1,L
357,437,0,0,L
559,352,1,2,W
415,546,2,1,T
264,351,1,2,L
300,342,2,1,L
325,311,2,1,L
412,359,2,3,W
360,254,0,1,W
222,382,1,0,L
294,250,1,0,L
371,335,0,2,W
328,316,0,1,L
380,432,1,1,W
447,390,1,2,W
428,295,0,1,W
402,345,1,0,W
424,372,2,4,W
460,291,1,1,W
423,222,0,0,W
422,448,1,0,W
417,368,0,0,W
353,505,0,0,W
264,318,2,1,W
260,260,3,3,L
449,276,1,4,W
375,319,0,2,W
195,346,2,0,L
429,413,1,1,L
307,333,3,1,W
400,253,1,2,W
355,332,1,2,W
307,215,0,3,W
267,372,1,1,L
304,265,2,2,L
347,271,0,2,W
324,369,3,3,W
299,397,2,0,L
337,373,2,4,W
464,273,1,0,L
206,333,0,3,W
348,253,2,0,L
309,313,3,0,L
246,484,3,1,L
349,221,1,3,W
448,450,0,0,W
375,363,1,1,L
418,324,1,0,L
263,408,2,0,L
244,346,1,2,W
348,387,0,1,W
344,413,0,2,W
289,269,0,1,L
311,337,1,0,W
277,285,2,3,W
308,306,0,1,W
422,369,0,3,W
323,296,2,0,W
324,300,2,0,L
319,375,2,0,L
408,448,1,0,L
231,387,0,0,L
294,348,0,1,W
263,284,3,1,L
324,418,0,1,W
406,221,2,1,W
372,424,4,2,L
406,189,1,2,W
331,367,0,0,L
405,355,1,2,L
402,446,3,0,L
424,515,2,0,L
387,292,0,1,W
309,307,1,1,W
330,354,0,6,W
451,449,0,4,W
348,446,0,2,W
448,408,0,1,W
406,365,0,2,W
413,429,1,1,W
367,493,2,0,L
344,258,1,1,W
351,291,2,3,W
284,282,3,0,L
359,320,2,1,W
214,351,1,0,L
414,392,1,1,W
271,347,2,0,L
269,289,1,0,W
273,327,0,2,W
354,325,2,1,L
353,302,4,1,L
307,309,1,1,L
316,348,1,3,W
387,150,2,1,W
250,294,0,1,W
289,236,1,1,L
291,203,0,3,W
302,377,3,3,L
450,448,0,0,L
253,400,2,1,L
410,352,2,3,W
284,331,1,0,L
396,522,0,1,W
392,414,1,1,L
422,331,0,1,W
277,422,2,0,L
355,405,2,1,W
327,351,1,0,W
310,369,2,0,L
421,250,1,3,W
348,316,3,1,L
411,282,0,3,W
390,463,3,0,L
384,470,2,2,W
348,294,1,0,L
388,357,3,1,L
216,283,3,3,L
331,284,0,1,W
317,389,2,0,W
344,344,3,0,L
370,494,1,0,L
449,231,4,0,L
327,273,2,0,L
285,277,3,2,L
301,304,0,0,L
333,206,3,0,L
315,377,0,1,L
150,387,1,2,L
415,263,1,1,W
470,384,2,2,L
413,388,1,0,W
291,351,3,2,L
293,305,1,8,W
357,436,2,0,L
406,285,0,2,W
326,463,0,2,W
422,277,0,2,W
231,449,0,4,W
256,341,1,2,W
343,442,2,1,L
273,464,0,1,W
389,418,1,1,W
323,244,3,0,W
316,389,1,3,L
484,246,1,3,W
365,398,1,2,W
227,389,2,1,L
185,320,2,1,L
283,306,0,1,W
320,472,2,2,W
288,420,1,5,W
345,305,3,0,L
387,348,1,0,L
345,232,4,1,L
339,244,1,0,L
280,296,0,1,W
227,240,1,1,L
247,555,2,1,L
162,402,2,0,L
312,286,5,0,L
183,299,0,1,L
177,323,2,2,L
123,344,3,2,L
214,352,0,2,L
457,463,4,1,L
426,430,3,1,W
222,362,2,0,L
200,398,2,0,L
474,297,0,2,W
454,267,0,0,W
274,331,0,2,W
337,379,1,4,W
240,227,1,1,W
358,475,0,2,W
277,496,3,2,L
314,300,3,4,W
303,360,1,4,W
494,589,1,0,W
280,396,2,0,L
305,367,3,2,L
301,316,0,3,W
284,263,1,3,W
211,306,0,3,W
366,339,0,2,W
351,214,0,1,W
282,239,4,4,L
258,403,0,0,L
337,311,0,1,L
331,388,1,1,L
217,290,1,2,W
306,308,1,0,L
318,264,1,2,L
377,315,1,0,W
282,411,3,0,L
446,348,2,0,L
374,323,1,5,W
363,344,2,0,W
463,457,1,4,W
282,284,0,3,W
277,378,1,0,L
501,262,0,1,W
437,357,0,0,W
362,375,2,1,W
357,376,0,0,W
385,420,2,0,L
444,299,0,0,W
377,333,0,2,W
402,162,0,2,W
496,348,3,1,W
313,309,0,3,W
325,239,0,4,W
396,280,0,2,W
377,302,3,3,W
431,368,0,2,W
546,344,2,1,W
507,486,1,0,L
288,417,0,3,L
474,442,2,0,L
275,346,2,3,W
523,406,1,2,W
463,326,2,0,L
375,359,1,1,W
571,486,0,4,W
373,337,4,2,L
371,223,2,0,L
555,247,1,2,W
369,422,3,0,L
294,270,3,0,L
488,425,1,2,W
417,349,0,2,W
473,465,1,0,L
316,328,1,0,W
417,288,3,0,W
457,403,3,1,L
339,366,2,0,L
221,406,1,2,L
435,391,3,0,W
232,345,1,4,W
302,443,2,2,W
351,264,2,1,W
329,315,0,1,W
296,343,1,3,W
234,389,2,2,L
260,260,3,3,W
300,324,0,2,W
470,286,3,1,L
332,284,0,3,W
365,406,2,0,L
340,381,1,1,L
493,393,1,1,W
305,293,8,1,L
305,354,3,0,L
316,436,0,1,L
230,396,2,0,L
344,245,2,3,W
393,407,0,2,W
331,274,2,0,L
296,280,1,0,L
333,377,2,0,L
250,421,3,1,L
404,364,1,0,W
360,303,4,1,L
239,325,4,0,L
329,230,0,3,W
486,507,0,1,W
454,528,0,1,L
368,393,1,3,W
261,412,1,1,W
389,423,1,4,W
285,406,2,0,L
344,344,0,3,W
626,270,1,0,W
397,299,0,2,W
325,354,1,2,W
366,358,2,2,W
399,382,0,2,W
244,323,0,3,L
345,263,2,2,W
463,390,0,3,W
221,349,3,1,L
203,291,3,0,L
403,288,0,1,W
280,284,0,3,W
426,251,0,2,W
346,244,2,1,L
239,493,0,1,L
239,282,4,4,W
291,460,1,1,L
443,302,2,2,L
429,303,1,1,W
308,439,2,0,L
292,387,1,0,L
359,412,3,2,L
383,334,2,1,L
328,340,1,2,L
286,470,1,3,W
346,195,0,2,W
437,384,1,2,W
374,412,2,2,W
251,426,2,0,L
436,357,0,2,W
436,316,1,0,W
297,474,2,0,L
375,362,1,2,L
277,274,1,1,L
448,422,0,1,L
313,209,0,2,W
369,310,0,2,W
389,234,2,2,W
460,275,3,1,W
382,222,0,1,W
406,368,2,1,W
312,437,1,4,W
367,305,2,3,W
389,227,1,2,W
368,431,2,0,L
388,413,0,1,L
357,388,1,3,W
352,410,3,2,L
346,275,3,2,L
423,389,4,1,L
265,304,2,2,W
426,386,2,1,W
369,324,3,3,L
476,393,0,3,W
379,337,4,1,L
302,353,1,4,W
330,349,2,1,L
278,272,5,1,L
263,345,2,2,L
356,251,1,0,L
398,365,2,1,L
320,185,1,2,W
302,529,3,4,L
254,418,1,2,L
295,428,1,0,L
286,288,3,0,L
300,492,1,2,L
273,513,3,1,L
486,571,4,0,L
281,443,1,4,L
299,444,0,0,L
475,358,2,0,L
147,326,0,1,L
364,404,0,1,L
272,550,1,1,L
323,177,2,2,W
253,376,2,0,L
352,214,2,0,W
306,283,1,0,L
