344,363,0,2,21,19,92,106,L
374,371,0,1,19,20,52,90,L
308,160,1,0,18,11,83,65,W
160,308,0,1,11,18,65,83,L
333,307,1,3,21,21,157,148,L
258,344,1,1,14,17,73,129,L
381,340,1,1,18,22,57,152,W
381,340,1,1,18,22,57,152,W
328,316,0,1,24,18,101,113,L
307,333,3,1,21,21,148,157,W
448,450,0,0,28,25,116,82,W
294,348,0,1,18,20,95,48,W
344,258,1,1,17,14,129,73,W
450,448,0,0,25,28,82,116,L
348,294,1,0,20,18,48,95,L
413,388,1,0,26,25,83,155,W
185,320,2,1,10,28,65,150,L
214,352,0,2,11,21,64,112,L
301,316,0,3,15,19,65,64,W
363,344,2,0,19,21,106,92,W
507,486,1,0,27,25,88,167,L
316,328,1,0,18,24,113,101,W
340,381,1,1,22,18,152,57,L
486,507,0,1,25,27,167,88,W
403,288,0,1,23,14,133,120,W
437,384,1,2,23,18,147,55,W
388,413,0,1,25,26,155,83,L
320,185,1,2,28,10,150,65,W
352,214,2,0,21,11,112,64,W
371,374,1,0,20,19,90,52,W
316,301,3,0,19,15,64,65,L
384,437,2,1,18,23,55,147,L
416,306,0,5,20,21,105,85,W
528,454,1,0,27,29,139,155,W
382,387,2,2,22,17,80,145,W
393,493,1,1,16,28,86,123,L
529,302,4,3,26,16,176,65,W
284,280,3,0,16,21,64,100,L
412,374,2,2,21,19,46,124,L
412,374,2,2,21,19,46,124,L
380,432,1,1,24,24,102,82,W
400,253,1,2,24,19,134,83,W
375,363,1,1,22,22,137,139,L
263,284,3,1,20,15,83,30,L
351,291,2,3,15,14,97,119,W
253,400,2,1,19,24,83,134,L
388,357,3,1,20,25,69,150,L
291,351,3,2,14,15,119,97,L
283,306,0,1,17,17,64,67,W
457,463,4,1,23,29,70,161,L
284,263,1,3,15,20,30,83,W
463,457,1,4,29,23,161,70,W
288,417,0,3,16,22,41,64,L
417,288,3,0,22,16,64,41,W
493,393,1,1,28,16,123,86,W
454,528,0,1,29,27,155,139,L
280,284,0,3,21,16,100,64,W
374,412,2,2,19,21,124,46,W
357,388,1,3,25,20,150,69,W
302,529,3,4,16,26,65,176,L
306,283,1,0,17,17,67,64,L
306,416,5,0,21,20,85,105,L
363,375,1,1,22,22,139,137,W
432,380,1,1,24,24,82,102,L
348,297,5,1,25,16,88,208,L
442,474,0,2,26,32,217,115,W
283,216,3,3,18,14,84,48,W
297,348,1,5,16,25,208,88,W
306,211,3,0,18,13,105,58,L
390,447,2,1,21,25,78,199,L
332,355,2,1,20,21,143,52,L
332,355,2,1,20,21,143,52,L
447,390,1,2,25,21,199,78,W
355,332,1,2,21,20,52,143,W
418,324,1,0,22,17,50,123,L
324,418,0,1,17,22,123,50,W
284,282,3,0,19,15,109,185,L
410,352,2,3,24,17,93,37,W
216,283,3,3,14,18,48,84,L
293,305,1,8,18,17,72,117,W
320,472,2,2,18,30,137,83,W
426,430,3,1,23,21,115,169,W
211,306,0,3,13,18,58,105,W
282,284,0,3,15,19,185,109,W
474,442,2,0,32,26,115,217,L
457,403,3,1,28,20,120,90,L
305,293,8,1,17,18,117,72,L
368,393,1,3,17,19,123,181,W
426,251,0,2,25,15,125,29,W
251,426,2,0,15,25,29,125,L
352,410,3,2,17,24,37,93,L
