344,363,L
416,306,W
348,297,L
420,288,L
288,286,W
396,230,W
443,257,T
340,349,L
443,281,W
290,217,L
332,360,L
369,333,W
300,314,L
425,488,L
370,391,W
344,123,W
374,371,L
528,454,W
442,474,W
571,378,W
372,267,W
362,333,L
386,426,L
367,331,W
461,396,W
303,429,L
360,332,W
418,389,L
286,312,W
550,272,W
408,302,W
465,473,W
422,309,W
493,367,W
344,546,L
308,160,W
382,387,W
283,216,W
412,261,L
306,310,L
391,435,L
245,344,L
274,277,W
396,144,W
368,417,L
311,325,W
496,277,W
348,496,L
340,328,W
368,406,L
335,371,L
160,308,L
393,493,L
297,348,W
378,277,W
305,345,W
492,300,W
267,454,L
376,357,L
425,278,L
342,300,W
304,301,W
382,399,L
275,460,L
451,269,W
589,494,L
230,329,L
333,307,L
529,302,W
306,211,L
378,571,L
414,315,L
406,523,L
349,340,W
244,339,W
341,256,L
223,371,W
358,366,L
271,534,L
272,278,W
438,335,W
302,408,L
335,300,L
258,344,L
284,280,L
390,447,L
408,263,W
522,396,L
389,317,L
189,406,L
403,258,W
283,360,L
315,329,L
411,375,L
326,147,W
296,323,L
449,451,L
458,478,L
323,374,L
381,340,W
412,374,L
332,355,L
362,222,W
345,402,L
357,437,L
559,352,W
415,546,T
264,351,L
300,342,L
325,311,L
412,359,W
360,254,W
222,382,L
294,250,L
371,335,W
381,340,W
412,374,L
332,355,L
362,222,W
345,402,L
357,437,L
559,352,W
415,546,T
264,351,L
300,342,L
325,311,L
412,359,W
360,254,W
222,382,L
294,250,L
371,335,W
328,316,L
380,432,W
447,390,W
428,295,W
402,345,W
424,372,W
460,291,W
423,222,W
422,448,W
417,368,W
353,505,W
264,318,W
260,260,L
449,276,W
375,319,W
195,346,L
429,413,L
307,333,W
400,253,W
355,332,W
307,215,W
267,372,L
304,265,L
347,271,W
324,369,W
299,397,L
337,373,W
464,273,L
206,333,W
348,253,L
309,313,L
246,484,L
349,221,W
448,450,W
375,363,L
418,324,L
263,408,L
244,346,W
348,387,W
344,413,W
289,269,L
311,337,W
277,285,W
308,306,W
422,369,W
323,296,W
324,300,L
319,375,L
408,448,L
231,387,L
294,348,W
263,284,L
324,418,W
406,221,W
372,424,L
406,189,W
331,367,L
405,355,L
402,446,L
424,515,L
387,292,W
309,307,W
330,354,W
451,449,W
348,446,W
448,408,W
406,365,W
413,429,W
367,493,L
344,258,W
351,291,W
284,282,L
359,320,W
214,351,L
414,392,W
271,347,L
269,289,W
273,327,W
354,325,L
353,302,L
307,309,L
316,348,W
387,150,W
250,294,W
289,236,L
291,203,W
302,377,L
450,448,L
253,400,L
410,352,W
284,331,L
396,522,W
392,414,L
422,331,W
277,422,L
355,405,W
327,351,W
310,369,L
421,250,W
348,316,L
411,282,W
390,463,L
384,470,W
348,294,L
388,357,L
216,283,L
331,284,W
317,389,W
344,344,L
370,494,L
449,231,L
327,273,L
285,277,L
301,304,L
333,206,L
315,377,L
150,387,L
415,263,W
470,384,L
413,388,W
291,351,L
293,305,W
357,436,L
406,285,W
326,463,W
422,277,W
231,449,W
256,341,W
343,442,L
273,464,W
389,418,W
323,244,W
316,389,L
484,246,W
365,398,W
227,389,L
185,320,L
283,306,W
320,472,W
288,420,W
345,305,L
387,348,L
345,232,L
339,244,L
280,296,W
227,240,L
247,555,L
162,402,L
312,286,L
183,299,L
177,323,L
123,344,L
214,352,L
457,463,L
426,430,W
222,362,L
200,398,L
474,297,W
454,267,W
274,331,W
337,379,W
240,227,W
358,475,W
277,496,L
314,300,W
303,360,W
494,589,W
280,396,L
305,367,L
301,316,W
284,263,W
211,306,W
366,339,W
351,214,W
282,239,L
258,403,L
337,311,L
331,388,L
217,290,W
306,308,L
318,264,L
377,315,W
282,411,L
446,348,L
374,323,W
363,344,W
463,457,W
282,284,W
277,378,L
501,262,W
437,357,W
362,375,W
357,376,W
385,420,L
444,299,W
377,333,W
402,162,W
496,348,W
313,309,W
325,239,W
396,280,W
377,302,W
431,368,W
546,344,W
507,486,L
288,417,L
474,442,L
275,346,W
523,406,W
463,326,L
375,359,W
571,486,W
373,337,L
371,223,L
555,247,W
369,422,L
294,270,L
488,425,W
417,349,W
473,465,L
316,328,W
417,288,W
457,403,L
339,366,L
221,406,L
435,391,W
232,345,W
302,443,W
351,264,W
329,315,W
296,343,W
234,389,L
260,260,W
300,324,W
470,286,L
332,284,W
365,406,L
340,381,L
493,393,W
305,293,L
305,354,L
316,436,L
230,396,L
344,245,W
393,407,W
331,274,L
296,280,L
333,377,L
250,421,L
404,364,W
360,303,L
239,325,L
329,230,W
486,507,W
454,528,L
368,393,W
261,412,W
389,423,W
285,406,L
344,344,W
626,270,W
397,299,W
325,354,W
366,358,W
399,382,W
244,323,L
345,263,W
463,390,W
221,349,L
203,291,L
403,288,W
280,284,W
426,251,W
346,244,L
239,493,L
239,282,W
291,460,L
443,302,L
429,303,W
308,439,L
292,387,L
359,412,L
383,334,L
328,340,L
286,470,W
346,195,W
437,384,W
374,412,W
251,426,L
436,357,W
436,316,W
297,474,L
375,362,L
277,274,L
448,422,L
313,209,W
369,310,W
389,234,W
460,275,W
382,222,W
406,368,W
312,437,W
367,305,W
389,227,W
368,431,L
388,413,L
357,388,W
352,410,L
346,275,L
423,389,L
265,304,W
426,386,W
369,324,L
476,393,W
379,337,L
302,353,W
330,349,L
278,272,L
263,345,L
356,251,L
398,365,L
320,185,W
302,529,L
254,418,L
295,428,L
286,288,L
300,492,L
273,513,L
486,571,L
281,443,L
299,444,L
475,358,L
147,326,L
364,404,L
272,550,L
323,177,W
253,376,L
352,214,W
306,283,L
418,254,W
354,305,W
333,362,W
257,443,T
359,375,L
278,425,W
420,385,W
439,308,W
245,338,L
534,271,W
354,330,L
299,183,W
391,370,L
376,253,W
387,231,W
309,422,L
371,374,W
306,416,L
472,320,L
215,307,L
315,414,W
513,273,W
270,626,L
396,461,L
360,283,W
442,343,W
338,245,W
349,330,W
270,294,W
276,449,L
349,417,L
300,335,W
316,301,L
363,375,W
393,368,L
320,359,L
398,200,W
407,341,W
331,422,L
494,370,W
393,476,L
446,402,W
351,327,L
375,411,W
253,348,W
389,316,W
263,415,L
236,289,W
384,437,L
432,380,L
403,457,W
301,380,W
310,306,W
493,239,W
413,344,L
546,415,T
388,331,W
515,424,W
505,353,L
333,369,L
334,383,W
335,438,L
478,458,W
284,332,L
