1,344,363,0,2,21,19,252,257,92,106,0.0335,L
2,374,371,0,1,19,20,322,281,52,90,0.0189,L
3,308,160,1,0,18,11,225,95,83,65,0.0979,W
4,160,308,0,1,11,18,95,225,65,83,0.0177,L
5,333,307,1,3,21,21,176,159,157,148,0.0208,L
6,258,344,1,1,14,17,185,215,73,129,0.1089,L
7,381,340,1,1,18,22,324,188,57,152,0.0316,W
8,381,340,1,1,18,22,324,188,57,152,0.0054,W
9,328,316,0,1,24,18,227,203,101,113,0.0354,L
10,307,333,3,1,21,21,159,176,148,157,0.0146,W
11,448,450,0,0,28,25,332,368,116,82,0.0779,W
12,294,348,0,1,18,20,199,300,95,48,0.0189,W
13,344,258,1,1,17,14,215,185,129,73,0.0645,W
14,450,448,0,0,25,28,368,332,82,116,0.0940,L
15,348,294,1,0,20,18,300,199,48,95,0.0693,L
16,413,388,1,0,26,25,330,233,83,155,0.0308,W
17,185,320,2,1,10,28,120,170,65,150,0.0207,L
18,214,352,0,2,11,21,150,240,64,112,0.1262,L
19,301,316,0,3,15,19,236,252,65,64,0.0282,W
20,363,344,2,0,19,21,257,252,106,92,0.1771,W
21,507,486,1,0,27,25,419,319,88,167,0.0453,L
22,316,328,1,0,18,24,203,227,113,101,0.0027,W
23,340,381,1,1,22,18,188,324,152,57,0.0575,L
24,486,507,0,1,25,27,319,419,167,88,0.0379,W
25,403,288,0,1,23,14,270,168,133,120,0.0193,W
26,437,384,1,2,23,18,290,329,147,55,0.0318,W
27,388,413,0,1,25,26,233,330,155,83,0.0000,L
28,320,185,1,2,28,10,170,120,150,65,0.0696,W
29,352,214,2,0,21,11,240,150,112,64,0.0782,W
30,371,374,1,0,20,19,281,322,90,52,0.0162,W
31,316,301,3,0,19,15,252,236,64,65,0.0517,L
32,384,437,2,1,18,23,329,290,55,147,0.0354,L
1,416,306,0,5,20,21,311,221,105,85,0.0580,W
2,528,454,1,0,27,29,389,299,139,155,0.0429,W
3,382,387,2,2,22,17,302,242,80,145,0.0920,W
4,393,493,1,1,16,28,307,370,86,123,0.1263,L
5,529,302,4,3,26,16,353,237,176,65,0.0785,W
6,284,280,3,0,16,21,220,180,64,100,0.0167,L
7,412,374,2,2,21,19,366,250,46,124,0.0253,L
8,412,374,2,2,21,19,366,250,46,124,0.0000,L
9,380,432,1,1,24,24,278,350,102,82,0.1558,W
10,400,253,1,2,24,19,266,170,134,83,0.1304,W
11,375,363,1,1,22,22,238,224,137,139,0.0972,L
12,263,284,3,1,20,15,180,254,83,30,0.0975,L
